Node_number	Region
16	7Networks_LH_SomMot_3
29	7Networks_LH_SomMot_16
30	7Networks_LH_DorsAttn_Post_1
34	7Networks_LH_DorsAttn_Post_5
36	7Networks_LH_DorsAttn_Post_7
37	7Networks_LH_DorsAttn_Post_8
46	7Networks_LH_SalVentAttn_FrOperIns_1
55	7Networks_LH_Limbic_OFC_2
83	7Networks_LH_Default_PFC_2
88	7Networks_LH_Default_PFC_7
90	7Networks_LH_Default_PFC_9
97	7Networks_LH_Default_pCunPCC_3
99	7Networks_LH_Default_PHC_1
100	7Networks_RH_Vis_1
101	7Networks_RH_Vis_2
102	7Networks_RH_Vis_3
122	7Networks_RH_SomMot_8
127	7Networks_RH_SomMot_13
129	7Networks_RH_SomMot_15
130	7Networks_RH_SomMot_16
134	7Networks_RH_DorsAttn_Post_1
137	7Networks_RH_DorsAttn_Post_4
140	7Networks_RH_DorsAttn_Post_7
141	7Networks_RH_DorsAttn_Post_8
144	7Networks_RH_DorsAttn_FEF_1
152	7Networks_RH_SalVentAttn_FrOperIns_2
153	7Networks_RH_SalVentAttn_FrOperIns_3
154	7Networks_RH_SalVentAttn_FrOperIns_4
161	7Networks_RH_Limbic_TempPole_1
168	7Networks_RH_Cont_PFCv_1
173	7Networks_RH_Cont_PFCl_5
180	7Networks_RH_Cont_PFCmp_2
183	7Networks_RH_Default_Par_3
186	7Networks_RH_Default_Temp_3
188	7Networks_RH_Default_Temp_5
190	7Networks_RH_Default_PFCdPFCm_1
191	7Networks_RH_Default_PFCdPFCm_2
193	7Networks_RH_Default_PFCdPFCm_4
194	7Networks_RH_Default_PFCdPFCm_5
