term	freq	z_score	p_val	fdr_corrected
motor	7	3.3966193611979953	0.0006822379563268852	0.00396550812115002
motor cortex	7	5.226388991764082	1.7285251518794608e-07	7.780824232278844e-06
primary sensorimotor	4	5.156957808664223	2.509943300735111e-07	7.780824232278844e-06
primary motor	6	3.7800596612215527	0.0001567907839743343	0.001215128575801091
coordination	4	3.9740507595901926	7.066049393360022e-05	0.0005974023578022564
foot	3	3.705158481113853	0.0002112586017702127	0.0015113115357407525
sensorimotor	7	4.65214854822938	3.284942959739894e-06	3.0549969525581016e-05
dorsal premotor	3	2.529071415318507	0.011436475416512283	0.042543688549425696
motor network	3	3.28599024959468	0.0010162452764959891	0.005338197586385671
movements	5	2.54993846072712	0.010774193540513472	0.04174999996948971
primary	7	4.6719496956985	2.9835403944525554e-06	3.0549969525581016e-05
sensorimotor cortex	4	3.684308525165187	0.00022932433712200017	0.0015233688108818582
cerebellum	3	2.8762398987563573	0.004024437186453978	0.01782250754001047
motor premotor	3	2.6157365948640807	0.008903521324676434	0.03600119492151776
parkinson disease	1	4.7176068036122265	2.3863513073766737e-06	2.774133394825383e-05
parkinson	1	4.7176068036122265	2.3863513073766737e-06	2.774133394825383e-05
disease pd	1	4.7176068036122265	2.3863513073766737e-06	2.774133394825383e-05
pd	1	4.7176068036122265	2.3863513073766737e-06	2.774133394825383e-05
somatosensory	5	2.661295043296986	0.007784071494610055	0.03290539313630614
secondary somatosensory	4	3.0377614975163567	0.0023834251133780585	0.011082926777207971
nociceptive	2	3.1858795071811006	0.0014431468842988557	0.00706382422314703
discriminative	2	6.510183510015314	7.505905240880312e-11	6.9804918740186895e-09
dorsal	1	3.5375555119647952	0.0004038492826715972	0.0025038655525639027
reward anticipation	1	4.963972767957701	6.906563164693726e-07	1.605775935791291e-05
anticipation	1	3.281326812278173	0.0010331995328488395	0.005338197586385671
