term	freq	z_score	p_val	fdr_corrected
orbitofrontal	1	2.44879437049421	0.014333525172452658	0.017349406810973706
orbitofrontal cortex	1	2.830083492118654	0.004653585840253591	0.006204781120338121
cortex ofc	1	4.4054696986026505	1.055549073210184e-05	2.345664607133742e-05
spectrum disorder	1	7.185511738725951	6.695592172720387e-13	3.3477960863601933e-12
medial orbitofrontal	1	3.673370692613734	0.0002393718349023832	0.00036826436138828186
mentalizing	1	2.438533401184478	0.01474699578932765	0.017349406810973706
amygdala anterior	1	4.227223913201372	2.3659220080197496e-05	4.3016763782177264e-05
amygdala	2	5.590071465673225	2.2697617683966637e-08	5.674404420991659e-08
medial lateral	1	4.358898943540674	1.3071845366762953e-05	2.6143690733525905e-05
semantic memory	1	3.1236547946876403	0.0017861988255140173	0.0025517126078771677
reinforcement	1	9.482040440173776	2.493585898042092e-21	2.4935858980420918e-20
medial temporal	1	2.3905514047414713	0.016823093929474908	0.01869232658830545
amygdala hippocampus	1	4.145263763000665	3.394227753368269e-05	5.657046255613782e-05
mild cognitive	1	8.392173224414009	4.7723703340041363e-17	3.181580222669424e-16
frontal temporal	1	6.377042156569663	1.805407779461806e-10	6.018025931539353e-10
amnestic	1	7.000000000000001	2.5596250877716517e-12	1.0238500351086607e-11
lobe	1	10.493384159131462	9.264930021001206e-26	1.852986004200241e-24
dementia	1	6.244997998398398	4.2380554260794433e-10	1.2108729788798411e-09
