term	freq	z_score	p_val	fdr_corrected
older adults	1	6.827814263660635	8.621810944381366e-12	8.276938506606111e-11
insula inferior	1	4.453463071962462	8.449624619987768e-06	3.526799841386199e-05
aging	1	6.827814263660635	8.621810944381366e-12	8.276938506606111e-11
prefrontal cortex	2	3.064933040592282	0.002177187349604206	0.0052252496390500945
medial	2	2.239294353555287	0.025136770034750035	0.040218832055600055
retrieval	3	3.268543768464652	0.0010810245633179711	0.002882732168847923
prefrontal	3	3.198548531950349	0.0013812128266516707	0.0035836873340151453
memory	3	3.6706877335894617	0.00024189872338884616	0.0007740759148443077
load	1	2.458517085010233	0.013951213819725564	0.02486562819768113
characters	1	2.5217181250662484	0.0116783246513716	0.02242238333063347
dorsolateral	1	2.500984051849337	0.01238487554347719	0.023312706905368828
nouns	1	3.61771961812612	0.0002972101101143076	0.0009203925990636622
words	2	2.8243520973220915	0.004737630825116014	0.010336649072980396
judgment	1	4.898979485566356	9.633570086430965e-07	4.867488043670383e-06
lateral prefrontal	1	4.227223913201372	2.3659220080197496e-05	8.735712029611383e-05
memory retrieval	2	3.57499029402204	0.0003502408891212409	0.001050722667363723
semantically	1	6.517534876743293	7.147220655562167e-11	4.5742212195597867e-10
dlpfc	1	4.227223913201372	2.3659220080197496e-05	8.735712029611383e-05
stroop task	1	6.517534876743293	7.147220655562167e-11	4.5742212195597867e-10
stroop	1	6.517534876743293	7.147220655562167e-11	4.5742212195597867e-10
matching	1	4.775931721614517	1.7887708314316356e-06	8.58609999087185e-06
cortex dlpfc	1	6.517534876743293	7.147220655562167e-11	4.5742212195597867e-10
english	1	2.432668163999206	0.014988029868763538	0.02589174524007999
syntactic	1	2.198357550475455	0.0279236362195122	0.04282446768426186
items	2	6.197116694007701	5.75068659817201e-10	3.4504119589032064e-09
episodic memory	2	3.0844959729110597	0.0020389737038968244	0.005019012194207568
pre sma	1	2.195837773695408	0.028103556917796847	0.04282446768426186
rule	1	3.923593080282779	8.72380377668877e-05	0.00029910184377218637
ba 44	1	4.898979485566356	9.633570086430965e-07	4.867488043670383e-06
motor pre	1	4.717845408323253	2.3835549925269753e-06	1.089625139440903e-05
cognitive control	1	3.123010704312804	0.001790112372485048	0.004522389151541174
matching task	1	6.517534876743293	7.147220655562167e-11	4.5742212195597867e-10
prefrontal parietal	1	2.9044003229642743	0.0036795734688051347	0.00821486169779751
frontal parietal	1	3.487243553373101	0.0004880267059062414	0.0014197140535454295
success	1	4.453463071962462	8.449624619987768e-06	3.526799841386199e-05
wm	1	2.3381524458510397	0.01937934138558887	0.03207615125890572
languages	1	2.480753149024354	0.013110513177495849	0.024204024327684644
sentence comprehension	1	2.590200407135152	0.009592007268935264	0.018792504037097663
dorsolateral prefrontal	1	2.7887977447841745	0.00529040926959511	0.011040854127850665
chinese	1	2.9395505518375615	0.0032868864790248013	0.007512883380628117
memory tasks	1	3.673370692613734	0.0002393718349023832	0.0007740759148443077
domain general	2	7.0995926673007315	1.251251242649085e-12	1.501501491178902e-11
episodic	2	2.4575992441533456	0.013986915861195635	0.02486562819768113
beliefs	1	2.203584594399154	0.027553571697302433	0.04282446768426186
item	1	8.713384929123524	2.949330478131449e-18	1.4156786295030955e-16
correctly	1	8.713384929123524	2.949330478131449e-18	1.4156786295030955e-16
remembering	1	2.2932145626797715	0.021835655150464876	0.035529201600756406
cuneus	1	2.760801131729271	0.005765977462422918	0.011777315667927663
retrosplenial cortex	1	2.634585357995754	0.008424011993278626	0.016848023986557253
remembered	1	4.3138679841543155	1.604227643500309e-05	6.416910574001236e-05
anterior prefrontal	1	3.0000737486694624	0.002699142449720862	0.006319943296907385
stop signal	1	2.4298873089195143	0.015103518056713328	0.02589174524007999
errors	1	5.413576781662969	6.177808537566698e-08	3.488644821214135e-07
stop	1	2.803248192324749	0.005059072064335332	0.01079268707058204
signal task	1	2.390938058136804	0.016805387865759445	0.028303811142331697
uncertainty	1	7.386173268720114	1.5111484587127668e-13	2.0724321719489374e-12
cingulate cortices	1	3.3684328063886486	0.0007559682140449119	0.0020735128156660443
error	1	7.386173268720114	1.5111484587127668e-13	2.0724321719489374e-12
conflict	1	3.4148188934345276	0.0006382443329492246	0.001802101645974281
globus pallidus	1	7.386173268720114	1.5111484587127668e-13	2.0724321719489374e-12
pallidus	1	7.386173268720114	1.5111484587127668e-13	2.0724321719489374e-12
globus	1	7.386173268720114	1.5111484587127668e-13	2.0724321719489374e-12
medial pfc	1	4.030059467345962	5.57627437602928e-05	0.00019826753336992995
