term	freq	z_score	p_val	fdr_corrected
anterior temporal	4	3.277597174217959	0.0010469468720362269	0.007272698424236506
person	4	4.197438823992138	2.699505458539053e-05	0.0005497556063106427
temporal pole	3	2.825003222331269	0.004728014054823922	0.0249249428669382
medial	15	6.746201652869197	1.517656586110963e-11	2.2309551815831157e-09
mentalizing	6	3.5560693215760666	0.00037644478749057197	0.003975143808536174
pole	3	2.9289188965419406	0.003401431616189875	0.01923117106076583
posterior cingulate	13	7.792722816378327	6.558038230650137e-15	1.9280632398111402e-12
medial prefrontal	12	6.359773372660892	2.0205163275555693e-10	1.9801060010044582e-08
comprehension	7	3.1850667402614303	0.0014472062785567744	0.009249535780341123
default	12	6.049747605370006	1.4507293555100749e-09	1.0662860762999051e-07
social cognitive	3	3.5810912027706188	0.00034216217943927054	0.003975143808536174
concrete	2	3.480244296629909	0.0005009567648918528	0.004606707413200128
sentences	6	2.750812262409753	0.0059447702405411645	0.029623092385069532
concepts	1	2.4682379507576417	0.013578002736384527	0.04474784210867191
tom	6	3.6173554861058292	0.0002976284070352823	0.0036459479861822085
mental states	6	3.196603048349099	0.0013905614631026307	0.009085001558937187
retrieval	9	2.451372405014489	0.014231263156539086	0.04474784210867191
theory mind	8	3.9955563005413017	6.45425159082304e-05	0.0010541944265010964
retrieved	6	3.7274775705515157	0.00019340576682713698	0.0025846043385081034
social	8	3.6453952321857743	0.0002669811666759445	0.0034127157827272903
cortex posterior	4	4.217661852616078	2.4684862672426965e-05	0.0005497556063106427
traits	2	2.5116108692656463	0.01201815281715149	0.04441315672438834
recollection	7	3.923384296082933	8.731370788875705e-05	0.0012962228411891735
temporal lobe	3	2.5294720394630965	0.011423427549925794	0.04441315672438834
sentence	6	3.4281995602174167	0.0006075986442357124	0.005103828611579984
speaker	5	3.7473262514397274	0.0001787295567645699	0.0025022137947039785
linguistic	7	2.945555905924589	0.0032237488392573756	0.018955643174833368
autobiographical	13	4.823343902510767	1.4117125607423795e-06	5.686702505176788e-05
middle temporal	5	3.48299645457864	0.0004958349311430262	0.004606707413200128
fronto temporal	3	2.864347686732918	0.004178690645299163	0.022750649068850996
temporal gyrus	5	2.655296329885433	0.007923876699259206	0.03707051106893287
language network	3	2.4758018374062596	0.013293733985531206	0.04441315672438834
autobiographical memory	6	2.654454255086062	0.007943680943342756	0.03707051106893287
syntactic	4	3.032427731132892	0.0024259517927374577	0.014555710756424747
personal	3	2.4861918185263905	0.01291183487217136	0.04441315672438834
language comprehension	4	2.4487943704942103	0.014333525172452625	0.04474784210867191
verbs	3	2.4432266723687985	0.01455659131539438	0.04474784210867191
auditory cortex	5	2.8236778223552106	0.004747608165131085	0.0249249428669382
acoustic	5	2.3748352592984365	0.017556784123130567	0.04964727943967583
temporal sulcus	6	2.7706260222414314	0.005594864508432531	0.028857722201388845
heard	4	3.1459709282980333	0.0016553645907273586	0.010354833822847732
construction	3	3.3907610117506732	0.0006969885056542728	0.005692072796176562
mood	4	2.736567661487881	0.006208382619711504	0.030421074836586365
temporal cortex	3	2.7584550284924325	0.005807529544409424	0.02943816700097191
angular gyrus	4	3.30115760690604	0.0009628677780705179	0.006904466506164202
memories	7	3.4831789529082684	0.0004954970294561105	0.004606707413200128
lateralized	2	3.273114446234884	0.0010636939872182645	0.007272698424236506
mind tom	6	2.9389618694062234	0.0032931358579963658	0.01898395965197905
posterior	6	4.474053783419938	7.675042312800841e-06	0.0002502573032806593
retrosplenial	5	2.7132708698902075	0.006662262402502255	0.03210992043173218
retrosplenial cortex	3	2.477922798628009	0.01321497354792138	0.04441315672438834
angular	3	2.524155961649881	0.011597646274685505	0.04441315672438834
thinking	2	3.4633917464524053	0.0005334111811684256	0.00461243786069168
resting	4	3.212164001218781	0.0013173914777929235	0.00880257032888908
precuneus	5	3.0373264999050544	0.002386867663392294	0.014555710756424747
mental state	2	2.6427944810830315	0.008222492819806408	0.03719096752343206
cingulate	11	3.9210104878231062	8.817842457069209e-05	0.0012962228411891735
prefrontal	11	3.3609208178847676	0.0007768309245692264	0.006172656535766285
cingulate cortex	9	4.451880509782823	8.512153172811541e-06	0.0002502573032806593
orbitofrontal	5	2.4387042295278367	0.014740027031427063	0.04474784210867191
prefrontal cortex	10	5.455519189095753	4.882995777055342e-08	2.871201516908541e-06
value	4	4.80501461126805	1.5474020422249762e-06	5.686702505176788e-05
choices	2	3.315461329337503	0.0009149199862887526	0.006724661899222331
striatum	2	2.419330330346409	0.015549112730167491	0.046176152956254976
ventromedial prefrontal	5	4.905497201886574	9.31909692582083e-07	4.566357493652207e-05
ventral striatum	2	3.3377892081579685	0.0008444778758237169	0.0063660639869787886
anterior medial	4	4.1451095868779655	3.396512347000729e-05	0.000624109143761384
subgenual	2	2.5519016934138636	0.010713674342603497	0.04436366558768209
ventromedial	4	4.188756181674516	2.8048755424012383e-05	0.0005497556063106427
medial orbitofrontal	3	2.494927123706511	0.012598300150374081	0.04441315672438834
choice	2	2.4906589774885526	0.012750643808784603	0.04441315672438834
cortex anterior	3	3.5545787452484374	0.00037858512462249274	0.003975143808536174
midline	4	4.011343219712345	6.0374264261304444e-05	0.001044119628989618
rewards	2	3.3377892081579685	0.0008444778758237169	0.0063660639869787886
gyrus precuneus	1	2.371184631421896	0.017731171228455654	0.04964727943967583
avoidance	1	2.371184631421896	0.017731171228455654	0.04964727943967583
memory test	2	3.4717490767201262	0.0005170794035224633	0.004606707413200128
appraisal	1	2.5984491498769273	0.009364591382906212	0.04066850910423032
mesolimbic	1	2.5984491498769273	0.009364591382906212	0.04066850910423032
dorsomedial	3	4.3537453868372715	1.3383113527737401e-05	0.00035769412519589053
dorsomedial prefrontal	3	4.208759327728124	2.5677671092328225e-05	0.0005497556063106427
personality traits	1	2.488823939999884	0.012816641733720095	0.04441315672438834
cortex precuneus	3	2.908583642957083	0.0036307003894028443	0.020140111594045967
negative positive	1	2.488823939999884	0.012816641733720095	0.04441315672438834
mind	4	2.452632093309102	0.01418153003960397	0.04474784210867191
social cognition	2	3.47549614910276	0.0005099093135078657	0.004606707413200128
cognition	1	2.428281640201139	0.015170557360914489	0.04551167208274347
precuneus posterior	3	2.491193538495538	0.012731474744195254	0.04441315672438834
cortex pcc	2	2.5934705629345607	0.009501267247351652	0.04066850910423032
mnemonic	1	2.389855517802939	0.016855002021681716	0.04906307519182599
lateral medial	1	2.389855517802939	0.016855002021681716	0.04906307519182599
cortex medial	1	2.4784787961282104	0.013194395334490126	0.04441315672438834
choose	2	2.5111613577110714	0.0120334679305628	0.04441315672438834
violations	1	2.586949495507729	0.009682978358150076	0.04066850910423032
intentional	1	2.586949495507729	0.009682978358150076	0.04066850910423032
temporal frontal	1	2.438123139721299	0.014763743824969982	0.04474784210867191
parietal temporal	1	2.438123139721299	0.014763743824969982	0.04474784210867191
fear	1	2.371184631421896	0.017731171228455654	0.04964727943967583
rostral	1	2.44806188504437	0.014362698419362446	0.04474784210867191
cortex amygdala	2	3.568579564053792	0.0003589218603431623	0.003975143808536174
reactions	1	2.499275257268435	0.012444760696929711	0.04441315672438834
trait	1	2.499275257268435	0.012444760696929711	0.04441315672438834
arousal	1	2.499275257268435	0.012444760696929711	0.04441315672438834
biomarker	1	2.6457513110645903	0.0081509715935027	0.03719096752343206
button	1	2.4784787961282104	0.013194395334490126	0.04441315672438834
