term	freq	z_score	p_val	fdr_corrected
parahippocampal	3	3.701266438890261	0.00021452606757743406	0.0013586650946570825
objects	4	3.3307839640424115	0.0008660178424527702	0.004265939742452535
visual	7	3.6184391078201097	0.00029638521416930526	0.0017917833402053456
occipital temporal	2	3.569309502695911	0.00035792337235342555	0.002027826280616189
ventral visual	3	4.08413181534187	4.42419129777633e-05	0.0005349249478220472
place	1	2.8305923520114686	0.004646189575827855	0.018174800399561906
occipital	6	5.064090342918328	4.103550250346878e-07	9.09620305493558e-06
ffa	2	3.4543255536537107	0.000551670988296557	0.0028220092862862338
fusiform	5	5.310504256283367	1.0932233115116211e-07	3.6349675107761405e-06
written	2	3.0263511398965286	0.0024752466725583887	0.011351993360353991
visual cortex	4	5.174795871266701	2.2816028813237805e-07	6.069063664321256e-06
occipitotemporal	2	2.9567647335352127	0.0031088522713133703	0.01315156300273132
object	4	3.780884530628771	0.00015627214669833176	0.0012225997359340073
fusiform gyrus	3	3.819721422251141	0.00013360247990735097	0.001110570614229855
motion	3	2.5137483849166955	0.011945562631586982	0.031152153529432722
occipito	3	2.9513105607483383	0.0031642858352436258	0.01315156300273132
occipital cortex	2	2.7167123740824817	0.006593387905955652	0.02370055652681356
lateral occipital	2	3.0116573986968884	0.002598256612853778	0.011518937650318415
occipito temporal	3	3.924820806694746	8.679432206097547e-05	0.0009619704028424782
familiar	2	5.354465670117233	8.580960990331486e-08	3.6349675107761405e-06
form	1	2.5989206871571717	0.00935173776637237	0.02591210672765678
unfamiliar	1	2.5989206871571717	0.00935173776637237	0.02591210672765678
lingual	2	3.8483928512489904	0.00011889527984799514	0.0010542048146522237
lingual gyrus	2	4.5999943470185745	4.2250240585931315e-06	7.024102497411081e-05
target detection	1	4.145095678246544	3.39671851797737e-05	0.0004517635628909902
navigation	4	3.463450127072833	0.0005332954458752541	0.0028220092862862338
cuneus	2	2.6472196291171928	0.008115662541639526	0.02525107346521215
encode	2	5.627632796838947	1.826994993228577e-08	1.2149516704970036e-06
sighted	2	2.7718074650086586	0.005574599826380572	0.021183479340246173
ventral tegmental	1	2.6223155025738447	0.008733453980449314	0.02525107346521215
tegmental	1	2.6223155025738447	0.008733453980449314	0.02525107346521215
fa	1	2.6223155025738447	0.008733453980449314	0.02525107346521215
regulating	1	2.6223155025738447	0.008733453980449314	0.02525107346521215
fasciculus	1	2.6223155025738447	0.008733453980449314	0.02525107346521215
sn	1	2.6223155025738447	0.008733453980449314	0.02525107346521215
medial temporal	3	2.746567459735148	0.006022249959101975	0.022248867904460075
parahippocampal cortex	2	2.3659970515446354	0.01798158761836937	0.04512360666496465
memory encoding	1	3.7021456417787215	0.00021378383234382336	0.0013586650946570825
parahippocampal gyrus	2	3.712746167717121	0.00020502248544969004	0.0013586650946570825
hippocampal	3	4.840710336477182	1.2937583807750798e-06	2.4581409234726517e-05
anterior hippocampus	2	3.281425951279268	0.0010328363990465383	0.004905972895471057
experiences	1	3.7021456417787215	0.00021378383234382336	0.0013586650946570825
virtual	2	2.9222429005600032	0.003475204008273667	0.014006125245466598
visual perception	1	2.4588385354355182	0.013938729121962395	0.035650980254249974
selective	1	2.6458063516910095	0.0081496455397737	0.02525107346521215
v1	2	2.5312258644811387	0.011366462903532451	0.03023479132339632
object recognition	2	5.85147000990356	4.872471501656102e-09	6.480387097202615e-07
visual field	1	3.8565549228574296	0.00011499626923277467	0.0010542048146522237
face recognition	1	2.6458063516910095	0.0081496455397737	0.02525107346521215
passively	1	2.5544423712058495	0.01063580342214027	0.02886860928866645
regulate	1	3.5635137346425787	0.0003659235393593123	0.002027826280616189
parieto occipital	1	3.856554922857429	0.00011499626923277492	0.0010542048146522237
locations	1	4.269750488116282	1.9569176313441642e-05	0.0002891889388541932
