term	freq	z_score	p_val	fdr_corrected
music	3	2.6405994768543883	0.008275949287526946	0.02593954254299491
musical	3	2.4027564993753407	0.01627201847240952	0.04565632555423146
heschl	2	2.486616588532561	0.012896430465512882	0.038144371799404296
musicians	3	4.708284075042384	2.4981079880403078e-06	2.914459319380359e-05
pain	7	2.6838261220297692	0.00727849495191542	0.0248718425853109
posterior insula	4	2.729578524280292	0.006341534434918473	0.02369059401420421
somatosensory	14	5.263700354353972	1.4118449069741017e-07	2.6953402769505576e-06
stimulation	6	4.51524424769098	6.3243830866755865e-06	5.853282770821914e-05
intensity	2	2.9439231653484836	0.0032408044504208026	0.013611378691767371
secondary somatosensory	10	4.799911362547114	1.5873586922817612e-06	2.0834082836198114e-05
primary somatosensory	9	4.827603478126987	1.3818589015129938e-06	1.9346024621181915e-05
somatosensory cortex	10	5.35704147299209	8.459570788390016e-08	1.7765098655619034e-06
rehabilitation	2	2.6808694627336056	0.007343115429948932	0.0248718425853109
ratings	2	4.015067940044236	5.942867319914649e-05	0.0003949723604055771
s1	7	4.748114576372451	2.0532171569421015e-06	2.5363270762225958e-05
nociceptive	3	2.5809357045997725	0.009853293094708887	0.03042928749836568
somatosensory cortices	7	2.885098569831792	0.003912911277256023	0.01580214169661086
postcentral	4	3.7720343031004084	0.000161921988307899	0.0009715319298473939
sensorimotor	17	7.273977430954816	3.490543294061604e-13	7.330140917529367e-11
primary	14	5.616936856641936	1.943724133485994e-08	5.27222535037663e-07
motor	16	4.881545398923262	1.0525768366104612e-06	1.578865254915692e-05
primary secondary	6	4.272938081179021	1.929140404125905e-05	0.00015004425365423708
cortex hippocampus	1	2.70801280154532	0.006768741146915488	0.02369059401420421
primary motor	15	6.35418359509361	2.0953645722093495e-10	1.4667552005465448e-08
motor cortex	14	6.298575013223843	3.0039434620148475e-10	1.577070317557795e-08
contralateral	13	7.074142630852663	1.5037555829339694e-12	1.5789433620806677e-10
premotor cortex	9	2.4524239786154673	0.014189735920767433	0.04138672976890501
premotor	13	3.568213870944455	0.0003594230732164244	0.0020399687939310573
movements	13	4.3375702219344525	1.4406651315360034e-05	0.00011636141447021566
stroke	3	4.012079337705307	6.0186264442754616e-05	0.0003949723604055771
motor imagery	7	2.395244671950767	0.016609277738384158	0.04589405690869307
movement	12	4.588539161526113	4.463585798421939e-06	4.4635857984219386e-05
dorsal premotor	6	3.069284972471753	0.0021457180772635714	0.009587250983518085
dyslexia	1	2.6457513110645903	0.0081509715935027	0.02593490961569041
manual	1	2.6457513110645903	0.0081509715935027	0.02593490961569041
sensory motor	3	4.616556599963622	3.9015964709384635e-06	4.096676294485387e-05
executed	5	4.5123694876557945	6.410738272804953e-06	5.853282770821914e-05
tapping	7	4.378479544307017	1.1951015589905807e-05	0.00010457138641167581
sensory	4	2.9724554553558864	0.00295428075319748	0.0126612032279892
handed	6	4.893373549243732	9.912201059268913e-07	1.578865254915692e-05
cerebellum	5	2.6635322044329577	0.007732500997072831	0.025775003323576105
hand movements	6	4.624210164118261	3.760284640552338e-06	4.096676294485387e-05
hand	12	4.887237818614438	1.0226054009630822e-06	1.578865254915692e-05
finger	8	3.754575668688825	0.00017363538508067077	0.001012873079637246
sensorimotor cortex	9	5.383280125200241	7.314057717264003e-08	1.7066134673616006e-06
tactile	7	3.959943333684883	7.496755017258799e-05	0.0004630348687130435
ipsilateral	9	5.611270366529966	2.0084668001434782e-08	5.27222535037663e-07
index finger	6	4.33788516255408	1.4386028307357222e-05	0.00011636141447021566
finger tapping	5	3.0044530230833097	0.002660588418626118	0.011640074331489267
finger movements	6	3.1891850046637273	0.0014267453621963307	0.007133726810981653
motor network	4	2.4019972602442414	0.016305830555082664	0.04565632555423146
grasping	4	3.0978181528416906	0.0019495101335047942	0.009097713956355707
motor performance	4	3.088932108388617	0.0020087733771426636	0.009170487156520855
primary sensorimotor	7	5.8828667722731565	4.032204946280025e-09	1.6935260774376105e-07
externally	1	2.904128486164299	0.0036827698992159957	0.015164346643830571
m1	5	4.134070428019181	3.56394181513569e-05	0.00026729563613517673
force	5	3.286051208152729	0.0010160253722800163	0.005470905850738549
hands	6	3.2215384548881034	0.0012750435055509082	0.006530710638187579
cortex m1	3	2.486665103114874	0.012894672105227418	0.038144371799404296
visuomotor	3	2.4909261793796063	0.012741058904913222	0.038144371799404296
limb	6	3.3056556647950996	0.0009475445430493257	0.005236430369483116
motor premotor	6	3.278170976454131	0.001044820894792564	0.005485309697660961
arm	5	5.64323820833914	1.668811997273076e-08	5.27222535037663e-07
dominant	2	2.4157048497819105	0.015704785749777905	0.045178150787032335
cerebellar	2	2.6507828052583218	0.008030546484208308	0.02593490961569041
motor function	4	4.002278754975334	6.27353229520302e-05	0.0003992247824220104
interhemispheric	2	3.1239183996308926	0.0017845994090132297	0.008517406270290415
magnetic stimulation	2	3.1239183996308926	0.0017845994090132297	0.008517406270290415
dorsal	2	4.087905388354165	4.3528559676189576e-05	0.0003152068114482693
gyrus superior	1	2.70801280154532	0.006768741146915488	0.02369059401420421
temporal gyri	1	2.70801280154532	0.006768741146915488	0.02369059401420421
speaking	1	2.70801280154532	0.006768741146915488	0.02369059401420421
chronic pain	1	2.7605596633966116	0.005770241723322135	0.022031832034502697
depth	1	2.7605596633966116	0.005770241723322135	0.022031832034502697
brainstem	2	4.018102008203958	5.8668799732182124e-05	0.0003949723604055771
reward anticipation	1	2.801706180548541	0.0050833147106640365	0.020141435646027314
