Birth	Death	1DHole
0.8167272309621469	0.8169722434752951	[[115,154], [14,154], [115,152], [14,152]]
0.8236315303868806	0.8289627968868953	[[154,155], [47,153], [153,154], [47,155]]
0.8322964755792409	0.8355482657413345	[[81,198], [61,81], [166,198], [61,166]]
0.7990756846871906	0.8589053242440663	[[143,149], [17,149], [15,43], [14,17], [14,15], [43,143]]
0.8444727778705506	0.8767408753403787	[[61,183], [166,175], [175,183], [61,166]]
0.8816917979090743	0.8843078475832575	[[143,149], [149,164], [140,143], [140,164]]
0.8861941565860155	0.8975189735053417	[[43,149], [26,129], [43,129], [26,149]]
0.8991539500961027	0.9038231024811380	[[43,149], [7,149], [7,135], [43,135]]
0.8961289703642334	0.9149971907859059	[[155,156], [17,44], [17,155], [44,143], [140,156], [140,143]]
0.8359345580190226	0.9192994116279800	[[35,40], [40,69], [35,37], [36,69], [36,37]]
0.8728712016101690	0.9192994116279800	[[36,37], [42,69], [35,37], [36,69], [35,42]]
0.9171616077232204	0.9219404268105944	[[155,156], [21,125], [125,155], [21,156]]
0.9121559848063336	0.9246285490261431	[[61,81], [36,61], [81,93], [36,93]]
0.9300810772961748	0.9344885161005074	[[19,118], [118,129], [126,129], [19,126]]
0.9226811183407425	0.9346930585872217	[[68,69], [37,86], [68,86], [37,69]]
0.8853468421781082	0.9374416790941049	[[61,63], [167,172], [166,172], [63,167], [61,166]]
0.9400180514699217	0.9431474721155363	[[14,125], [29,149], [43,149], [29,125], [14,43]]
0.8599844615679428	0.9481035068530393	[[17,43], [43,149], [17,149], [26,129], [16,149], [29,133], [16,44], [26,44], [26,29], [26,149], [129,133]]
0.8821180547899010	0.9489563152315388	[[26,129], [22,33], [22,126], [43,44], [26,149], [33,44], [43,149], [126,129]]
0.9422162402307330	0.9621412935232291	[[61,63], [36,68], [36,61], [63,68]]
0.9566606690244800	0.9635467012125258	[[61,63], [61,81], [63,74], [74,81]]
0.8610082234687844	0.9666266297246203	[[14,15], [45,164], [15,43], [43,148], [14,164], [45,148]]
