Node_number	Region
4	7Networks_LH_Vis_5
8	7Networks_LH_Vis_9
21	7Networks_LH_SomMot_8
27	7Networks_LH_SomMot_14
29	7Networks_LH_SomMot_16
38	7Networks_LH_DorsAttn_Post_9
50	7Networks_LH_SalVentAttn_PFCl_1
56	7Networks_LH_Limbic_TempPole_1
57	7Networks_LH_Limbic_TempPole_2
66	7Networks_LH_Cont_PFCl_2
68	7Networks_LH_Cont_PFCl_4
70	7Networks_LH_Cont_pCun_1
78	7Networks_LH_Default_Par_1
87	7Networks_LH_Default_PFC_6
89	7Networks_LH_Default_PFC_8
94	7Networks_LH_Default_PFC_13
119	7Networks_RH_SomMot_5
120	7Networks_RH_SomMot_6
121	7Networks_RH_SomMot_7
125	7Networks_RH_SomMot_11
130	7Networks_RH_SomMot_16
132	7Networks_RH_SomMot_18
162	7Networks_RH_Limbic_TempPole_2
180	7Networks_RH_Cont_PFCmp_2
186	7Networks_RH_Default_Temp_3
193	7Networks_RH_Default_PFCdPFCm_4
194	7Networks_RH_Default_PFCdPFCm_5
