Node_number	Region
4	7Networks_LH_Vis_5
8	7Networks_LH_Vis_9
21	7Networks_LH_SomMot_8
24	7Networks_LH_SomMot_11
29	7Networks_LH_SomMot_16
38	7Networks_LH_DorsAttn_Post_9
50	7Networks_LH_SalVentAttn_PFCl_1
51	7Networks_LH_SalVentAttn_Med_1
52	7Networks_LH_SalVentAttn_Med_2
53	7Networks_LH_SalVentAttn_Med_3
66	7Networks_LH_Cont_PFCl_2
68	7Networks_LH_Cont_PFCl_4
70	7Networks_LH_Cont_pCun_1
78	7Networks_LH_Default_Par_1
87	7Networks_LH_Default_PFC_6
89	7Networks_LH_Default_PFC_8
94	7Networks_LH_Default_PFC_13
100	7Networks_RH_Vis_1
108	7Networks_RH_Vis_9
114	7Networks_RH_Vis_15
119	7Networks_RH_SomMot_5
120	7Networks_RH_SomMot_6
121	7Networks_RH_SomMot_7
125	7Networks_RH_SomMot_11
126	7Networks_RH_SomMot_12
128	7Networks_RH_SomMot_14
132	7Networks_RH_SomMot_18
133	7Networks_RH_SomMot_19
135	7Networks_RH_DorsAttn_Post_2
155	7Networks_RH_SalVentAttn_Med_1
178	7Networks_RH_Cont_Cing_2
180	7Networks_RH_Cont_PFCmp_2
186	7Networks_RH_Default_Temp_3
194	7Networks_RH_Default_PFCdPFCm_5
195	7Networks_RH_Default_PFCdPFCm_6
