Nodes	p_values	fdr_corrected_p_val	ASD_mean	ASD_sd	Healthy_mean	Healthy_sd
0	0.37535952530002115	0.8944266189713711	8.782278481012659	0.4858022532579431	9.418823529411764	0.5282446872102377
1	0.20069444201962214	0.8944266189713711	9.118987341772153	0.5094203969989828	10.04	0.5076786629958612
2	0.5796763798224186	0.8944266189713711	8.853164556962025	0.5278924692256128	9.258823529411766	0.507291612693784
3	0.5923235343885229	0.8944266189713711	6.681012658227848	0.4382135874247478	7.009411764705883	0.4287138597546544
4	0.39071737401341033	0.8944266189713711	8.351898734177215	0.4697362008751051	8.943529411764706	0.5039502374987442
5	0.8013221292229035	0.8944266189713711	5.80253164556962	0.3847858188381427	5.9411764705882355	0.3940985964551054
6	0.00819479186863449	0.09833750242361389	6.045569620253165	0.42042851305996726	7.731764705882353	0.47746917186379995
7	0.68064317213538	0.8944266189713711	8.564556962025316	0.4419607800354697	8.821176470588235	0.4394680053214875
8	0.8198910673904235	0.8944266189713711	4.70126582278481	0.36821568197722426	4.821176470588235	0.37629841373664363
9	0.9997416680472517	0.9997416680472517	8.169620253164556	0.4624125060245792	8.169411764705883	0.44785716438888984
10	0.6187795366710935	0.8944266189713711	6.865822784810127	0.4457881065790404	7.174117647058823	0.42996215468615623
11	0.5616234969640266	0.8944266189713711	5.508860759493671	0.39596304280660005	5.8494117647058825	0.4326335888004838
